iter	Passed	Remaining
0	202	202576
1	260	129881
2	320	106555
3	372	92629
4	428	85318
5	481	79705
6	528	74907
7	575	71334
8	622	68499
9	669	66296
10	714	64250
11	760	62574
12	805	61145
13	852	60027
14	896	58876
15	943	58002
16	990	57259
17	1038	56657
18	1087	56135
19	1134	55606
20	1181	55089
21	1228	54594
22	1273	54084
23	1317	53596
24	1365	53249
25	1409	52818
26	1455	52463
27	1502	52148
28	1544	51724
29	1590	51436
30	1636	51147
31	1680	50844
32	1727	50628
33	1775	50455
34	1825	50330
35	1871	50122
36	1916	49891
37	1959	49596
38	2001	49328
39	2050	49213
40	2098	49074
41	2142	48859
42	2186	48669
43	2235	48561
44	2278	48358
45	2317	48070
46	2360	47862
47	2403	47662
48	2443	47428
49	2483	47178
50	2524	46970
51	2562	46716
52	2613	46704
53	2658	46571
54	2700	46397
55	2745	46289
56	2783	46044
57	2824	45881
58	2875	45856
59	2919	45732
60	2970	45730
61	3025	45770
62	3075	45740
63	3114	45543
64	3157	45420
65	3197	45251
66	3240	45121
67	3288	45064
68	3337	45038
69	3383	44957
70	3425	44824
71	3471	44741
72	3518	44676
73	3561	44566
74	3605	44472
75	3649	44366
76	3693	44268
77	3734	44142
78	3780	44077
79	3826	44005
80	3866	43866
81	3908	43752
82	3951	43654
83	3991	43526
84	4028	43362
85	4070	43262
86	4112	43161
87	4152	43037
88	4196	42957
89	4240	42876
90	4274	42700
91	4314	42581
92	4356	42488
93	4390	42321
94	4429	42194
95	4469	42088
96	4502	41911
97	4543	41818
98	4584	41723
99	4619	41576
100	4663	41513
101	4709	41464
102	4752	41386
103	4800	41360
104	4850	41346
105	4897	41305
106	4941	41239
107	4984	41169
108	5024	41071
109	5070	41023
110	5109	40923
111	5156	40881
112	5195	40785
113	5239	40720
114	5281	40647
115	5327	40599
116	5371	40537
117	5414	40470
118	5460	40425
119	5507	40390
120	5553	40345
121	5602	40318
122	5645	40253
123	5689	40191
124	5730	40112
125	5770	40023
126	5814	39965
127	5852	39872
128	5894	39798
129	5938	39743
130	5984	39697
131	6028	39642
132	6072	39583
133	6115	39525
134	6165	39503
135	6207	39435
136	6249	39366
137	6290	39295
138	6329	39207
139	6371	39138
140	6418	39101
141	6463	39055
142	6512	39031
143	6559	38991
144	6599	38912
145	6641	38845
146	6685	38794
147	6727	38725
148	6770	38669
149	6815	38619
150	6854	38541
151	6895	38471
152	6934	38391
153	6976	38327
154	7024	38293
155	7069	38247
156	7112	38188
157	7156	38137
158	7198	38072
159	7234	37983
160	7283	37958
161	7330	37917
162	7373	37864
163	7417	37813
164	7457	37737
165	7502	37693
166	7544	37631
167	7587	37575
168	7626	37501
169	7672	37460
170	7715	37404
171	7757	37342
172	7799	37285
173	7841	37225
174	7877	37134
175	7921	37086
176	7968	37052
177	8011	36998
178	8050	36926
179	8090	36854
180	8137	36819
181	8180	36769
182	8228	36734
183	8273	36689
184	8307	36595
185	8348	36536
186	8391	36481
187	8435	36436
188	8475	36367
189	8515	36302
190	8558	36248
191	8599	36191
192	8642	36136
193	8682	36074
194	8726	36024
195	8766	35961
196	8809	35908
197	8855	35869
198	8900	35826
199	8944	35777
200	8983	35710
201	9026	35657
202	9069	35608
203	9115	35567
204	9161	35530
205	9205	35480
206	9250	35437
207	9291	35377
208	9339	35346
209	9384	35304
210	9430	35265
211	9471	35204
212	9517	35164
213	9557	35103
214	9605	35070
215	9651	35031
216	9699	34998
217	9741	34944
218	9782	34885
219	9828	34846
220	9873	34802
221	9913	34740
222	9955	34689
223	10001	34649
224	10046	34606
225	10088	34550
226	10130	34496
227	10174	34450
228	10219	34408
229	10261	34352
230	10306	34311
231	10346	34249
232	10385	34187
233	10431	34147
234	10479	34113
235	10524	34071
236	10565	34014
237	10612	33976
238	10657	33934
239	10692	33859
240	10735	33811
241	10769	33732
242	10808	33671
243	10853	33627
244	10895	33576
245	10942	33538
246	10988	33499
247	11026	33434
248	11067	33380
249	11109	33327
250	11148	33267
251	11190	33216
252	11232	33163
253	11271	33104
254	11316	33060
255	11361	33019
256	11407	32979
257	11444	32914
258	11484	32856
259	11525	32804
260	11571	32764
261	11610	32705
262	11652	32654
263	11694	32603
264	11736	32551
265	11778	32502
266	11824	32461
267	11864	32404
268	11905	32351
269	11949	32309
270	11993	32261
271	12036	32214
272	12084	32180
273	12125	32128
274	12168	32081
275	12205	32017
276	12253	31982
277	12300	31945
278	12344	31901
279	12383	31842
280	12426	31794
281	12464	31734
282	12506	31685
283	12542	31620
284	12587	31578
285	12627	31524
286	12672	31483
287	12711	31426
288	12757	31386
289	12800	31339
290	12842	31289
291	12884	31240
292	12925	31189
293	12966	31137
294	13008	31089
295	13051	31040
296	13097	31002
297	13139	30953
298	13182	30906
299	13226	30861
300	13271	30820
301	13315	30775
302	13357	30725
303	13402	30685
304	13443	30633
305	13483	30581
306	13529	30540
307	13573	30496
308	13618	30453
309	13658	30401
310	13702	30356
311	13742	30303
312	13788	30264
313	13833	30221
314	13872	30166
315	13917	30125
316	13961	30082
317	14001	30029
318	14046	29987
319	14094	29951
320	14136	29902
321	14178	29853
322	14223	29812
323	14265	29763
324	14309	29720
325	14355	29679
326	14400	29636
327	14442	29590
328	14477	29528
329	14521	29482
330	14561	29431
331	14604	29385
332	14646	29337
333	14691	29295
334	14740	29260
335	14782	29213
336	14828	29172
337	14870	29124
338	14913	29079
339	14962	29045
340	15006	29001
341	15044	28946
342	15088	28900
343	15126	28846
344	15171	28803
345	15214	28758
346	15259	28715
347	15298	28663
348	15344	28622
349	15384	28570
350	15426	28523
351	15470	28480
352	15511	28429
353	15553	28382
354	15600	28344
355	15643	28299
356	15679	28240
357	15717	28185
358	15761	28142
359	15804	28097
360	15850	28057
361	15899	28021
362	15943	27977
363	15983	27926
364	16026	27881
365	16067	27832
366	16112	27790
367	16155	27745
368	16205	27712
369	16248	27666
370	16296	27630
371	16347	27596
372	16396	27562
373	16442	27520
374	16484	27474
375	16528	27431
376	16575	27391
377	16620	27349
378	16661	27300
379	16706	27258
380	16748	27210
381	16795	27172
382	16834	27120
383	16874	27069
384	16917	27023
385	16952	26966
386	16992	26915
387	17031	26863
388	17073	26816
389	17116	26772
390	17160	26727
391	17203	26682
392	17242	26631
393	17280	26578
394	17322	26531
395	17369	26493
396	17411	26446
397	17449	26392
398	17489	26344
399	17537	26305
400	17583	26265
401	17625	26219
402	17667	26171
403	17710	26126
404	17751	26079
405	17797	26038
406	17844	25999
407	17884	25949
408	17923	25899
409	17966	25854
410	18007	25806
411	18049	25760
412	18093	25716
413	18133	25666
414	18175	25621
415	18213	25568
416	18252	25518
417	18297	25476
418	18335	25424
419	18377	25378
420	18420	25333
421	18458	25282
422	18496	25231
423	18536	25181
424	18576	25132
425	18616	25083
426	18652	25030
427	18698	24989
428	18741	24945
429	18784	24900
430	18828	24856
431	18870	24811
432	18912	24765
433	18953	24718
434	18996	24673
435	19042	24632
436	19089	24593
437	19131	24547
438	19175	24504
439	19215	24455
440	19255	24408
441	19296	24360
442	19334	24310
443	19368	24254
444	19411	24209
445	19458	24170
446	19496	24120
447	19542	24079
448	19589	24039
449	19637	24001
450	19684	23962
451	19728	23919
452	19774	23877
453	19814	23829
454	19852	23779
455	19899	23739
456	19943	23696
457	19984	23650
458	20024	23601
459	20067	23557
460	20107	23510
461	20147	23462
462	20186	23412
463	20232	23371
464	20272	23324
465	20314	23278
466	20357	23234
467	20398	23188
468	20437	23138
469	20473	23087
470	20519	23046
471	20564	23004
472	20610	22963
473	20654	22920
474	20696	22874
475	20740	22832
476	20785	22790
477	20830	22747
478	20871	22701
479	20914	22657
480	20956	22612
481	21001	22569
482	21041	22522
483	21078	22471
484	21120	22427
485	21163	22382
486	21208	22341
487	21257	22302
488	21301	22259
489	21347	22219
490	21389	22173
491	21431	22128
492	21472	22082
493	21517	22040
494	21563	21999
495	21609	21958
496	21650	21911
497	21695	21869
498	21741	21828
499	21780	21780
500	21816	21729
501	21860	21685
502	21906	21645
503	21949	21600
504	21993	21558
505	22036	21513
506	22079	21470
507	22117	21421
508	22159	21376
509	22198	21327
510	22235	21277
511	22282	21237
512	22322	21190
513	22366	21147
514	22413	21108
515	22456	21063
516	22495	21016
517	22538	20971
518	22581	20928
519	22628	20887
520	22671	20843
521	22715	20800
522	22759	20757
523	22803	20714
524	22849	20673
525	22894	20631
526	22937	20587
527	22984	20547
528	23030	20505
529	23074	20462
530	23119	20419
531	23152	20367
532	23194	20322
533	23239	20279
534	23282	20236
535	23324	20191
536	23370	20150
537	23411	20104
538	23456	20061
539	23503	20021
540	23540	19972
541	23581	19926
542	23617	19877
543	23661	19833
544	23706	19791
545	23752	19750
546	23797	19707
547	23843	19666
548	23886	19623
549	23923	19574
550	23969	19532
551	24009	19485
552	24055	19444
553	24097	19399
554	24140	19355
555	24183	19312
556	24226	19268
557	24266	19221
558	24314	19182
559	24365	19144
560	24409	19101
561	24447	19053
562	24492	19011
563	24532	18964
564	24579	18923
565	24623	18880
566	24660	18832
567	24709	18793
568	24757	18753
569	24800	18709
570	24841	18663
571	24885	18620
572	24933	18580
573	24979	18538
574	25026	18497
575	25074	18457
576	25114	18411
577	25156	18366
578	25200	18323
579	25243	18279
580	25286	18236
581	25327	18190
582	25369	18145
583	25413	18102
584	25454	18057
585	25496	18012
586	25538	17968
587	25582	17925
588	25624	17880
589	25668	17837
590	25706	17790
591	25745	17743
592	25785	17697
593	25830	17654
594	25873	17611
595	25914	17566
596	25960	17524
597	26001	17479
598	26044	17435
599	26090	17393
600	26136	17351
601	26176	17306
602	26217	17261
603	26262	17218
604	26307	17176
605	26352	17133
606	26397	17090
607	26438	17045
608	26480	17001
609	26523	16957
610	26565	16913
611	26610	16870
612	26651	16825
613	26696	16783
614	26734	16736
615	26779	16693
616	26824	16650
617	26863	16604
618	26899	16557
619	26939	16511
620	26981	16467
621	27023	16422
622	27065	16378
623	27109	16334
624	27150	16290
625	27196	16248
626	27240	16205
627	27285	16162
628	27318	16113
629	27365	16071
630	27407	16027
631	27450	15983
632	27485	15935
633	27531	15893
634	27581	15853
635	27624	15810
636	27671	15769
637	27709	15722
638	27756	15680
639	27798	15636
640	27840	15592
641	27882	15548
642	27922	15502
643	27970	15461
644	28014	15418
645	28060	15376
646	28098	15330
647	28136	15284
648	28183	15242
649	28224	15197
650	28263	15152
651	28306	15108
652	28352	15066
653	28394	15022
654	28437	14978
655	28478	14934
656	28533	14896
657	28581	14855
658	28627	14813
659	28668	14768
660	28709	14724
661	28736	14672
662	28781	14629
663	28824	14585
664	28865	14541
665	28905	14496
666	28942	14449
667	28984	14405
668	29029	14362
669	29078	14322
670	29120	14278
671	29164	14234
672	29206	14191
673	29252	14148
674	29297	14106
675	29340	14062
676	29381	14018
677	29425	13974
678	29465	13930
679	29510	13887
680	29556	13845
681	29594	13799
682	29635	13754
683	29679	13711
684	29718	13666
685	29758	13621
686	29793	13574
687	29839	13532
688	29883	13488
689	29927	13445
690	29969	13401
691	30013	13358
692	30050	13312
693	30094	13269
694	30138	13226
695	30183	13183
696	30227	13140
697	30270	13097
698	30316	13054
699	30361	13012
700	30405	12968
701	30450	12926
702	30486	12879
703	30529	12836
704	30570	12792
705	30611	12747
706	30653	12703
707	30697	12660
708	30735	12615
709	30774	12569
710	30815	12525
711	30861	12483
712	30902	12438
713	30946	12396
714	30988	12351
715	31031	12308
716	31078	12266
717	31118	12222
718	31159	12177
719	31201	12134
720	31238	12088
721	31279	12043
722	31315	11997
723	31353	11952
724	31393	11907
725	31438	11865
726	31480	11821
727	31528	11779
728	31563	11733
729	31608	11690
730	31652	11647
731	31691	11602
732	31740	11561
733	31784	11518
734	31838	11479
735	31883	11436
736	31926	11393
737	31966	11348
738	32009	11305
739	32054	11262
740	32100	11220
741	32144	11176
742	32185	11132
743	32224	11088
744	32270	11045
745	32317	11003
746	32355	10958
747	32392	10913
748	32437	10870
749	32478	10826
750	32514	10780
751	32558	10737
752	32605	10695
753	32649	10652
754	32696	10610
755	32736	10565
756	32782	10523
757	32821	10478
758	32865	10435
759	32907	10391
760	32953	10349
761	32997	10306
762	33037	10261
763	33073	10216
764	33120	10174
765	33168	10132
766	33212	10089
767	33254	10045
768	33300	10003
769	33345	9960
770	33388	9916
771	33432	9873
772	33480	9831
773	33520	9787
774	33565	9744
775	33610	9702
776	33656	9659
777	33703	9617
778	33750	9575
779	33788	9530
780	33831	9486
781	33868	9441
782	33908	9397
783	33957	9355
784	34006	9313
785	34052	9271
786	34100	9229
787	34147	9186
788	34191	9143
789	34242	9102
790	34284	9058
791	34324	9014
792	34370	8971
793	34413	8928
794	34455	8884
795	34498	8841
796	34546	8799
797	34592	8756
798	34635	8713
799	34680	8670
800	34718	8625
801	34760	8581
802	34801	8537
803	34847	8495
804	34890	8451
805	34933	8408
806	34972	8363
807	35016	8320
808	35059	8277
809	35100	8233
810	35142	8189
811	35183	8145
812	35221	8101
813	35270	8059
814	35314	8016
815	35354	7972
816	35398	7928
817	35442	7885
818	35486	7842
819	35534	7800
820	35581	7757
821	35632	7716
822	35676	7672
823	35712	7627
824	35751	7583
825	35797	7540
826	35832	7495
827	35874	7452
828	35912	7407
829	35955	7364
830	35995	7320
831	36034	7276
832	36080	7233
833	36121	7189
834	36170	7147
835	36212	7103
836	36258	7061
837	36298	7017
838	36345	6974
839	36384	6930
840	36427	6887
841	36467	6843
842	36514	6800
843	36560	6757
844	36596	6713
845	36639	6669
846	36679	6625
847	36724	6582
848	36764	6538
849	36807	6495
850	36853	6452
851	36895	6409
852	36934	6364
853	36980	6322
854	37025	6279
855	37070	6236
856	37114	6192
857	37158	6149
858	37197	6105
859	37234	6061
860	37275	6017
861	37313	5973
862	37360	5930
863	37401	5887
864	37437	5842
865	37480	5799
866	37520	5755
867	37559	5711
868	37603	5668
869	37641	5624
870	37686	5581
871	37730	5538
872	37768	5494
873	37809	5450
874	37851	5407
875	37897	5364
876	37933	5320
877	37972	5276
878	38007	5231
879	38053	5189
880	38097	5145
881	38142	5102
882	38190	5060
883	38230	5016
884	38273	4973
885	38313	4929
886	38355	4886
887	38401	4843
888	38440	4799
889	38480	4756
890	38528	4713
891	38571	4670
892	38615	4626
893	38659	4583
894	38702	4540
895	38740	4496
896	38778	4452
897	38828	4410
898	38873	4367
899	38915	4323
900	38954	4280
901	38994	4236
902	39038	4193
903	39082	4150
904	39124	4107
905	39166	4063
906	39212	4020
907	39252	3977
908	39299	3934
909	39342	3891
910	39389	3848
911	39431	3804
912	39474	3761
913	39522	3718
914	39567	3675
915	39606	3632
916	39642	3588
917	39687	3545
918	39730	3501
919	39775	3458
920	39824	3415
921	39861	3372
922	39907	3329
923	39946	3285
924	39988	3242
925	40024	3198
926	40067	3155
927	40104	3111
928	40149	3068
929	40196	3025
930	40240	2982
931	40282	2939
932	40322	2895
933	40366	2852
934	40411	2809
935	40449	2765
936	40494	2722
937	40536	2679
938	40577	2636
939	40614	2592
940	40656	2549
941	40695	2505
942	40737	2462
943	40782	2419
944	40818	2375
945	40853	2332
946	40896	2288
947	40937	2245
948	40985	2202
949	41025	2159
950	41065	2115
951	41106	2072
952	41148	2029
953	41191	1986
954	41238	1943
955	41280	1899
956	41324	1856
957	41368	1813
958	41413	1770
959	41448	1727
960	41500	1684
961	41551	1641
962	41598	1598
963	41644	1555
964	41692	1512
965	41730	1468
966	41766	1425
967	41811	1382
968	41848	1338
969	41892	1295
970	41936	1252
971	41981	1209
972	42021	1166
973	42063	1122
974	42101	1079
975	42142	1036
976	42186	993
977	42231	950
978	42274	906
979	42319	863
980	42359	820
981	42406	777
982	42448	734
983	42491	690
984	42535	647
985	42579	604
986	42622	561
987	42665	518
988	42704	474
989	42744	431
990	42790	388
991	42830	345
992	42868	302
993	42914	259
994	42958	215
995	42998	172
996	43043	129
997	43084	86
998	43130	43
999	43173	0
